brand,model_code_base,lineup,year,panel_tech,tier,sku_full,size_inch,region,weight_kg,power_w,local_dimming_zones,audio_output_w,price_msrp,price_street,currency,availability,estimated_fields
삼성,QN80H,Neo QLED 4K,2026,Neo-QLED,flagship,QN80H-100IN-KR,100,KR,35.00,260,1344,70,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN85D,Neo QLED 4K,2024,Neo-QLED,high,KQ65QNA85DXKR,65,KR,23.00,170,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN85F,Neo QLED 4K,2025,Neo-QLED,high,QN85F-55IN-KR,55,KR,19.00,140,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN85F,Neo QLED 4K,2025,Neo-QLED,high,KQ65QNF85FXKR,65,KR,23.00,170,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN85F,Neo QLED 4K,2025,Neo-QLED,high,QN85F-75IN-KR,75,KR,26.00,200,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN85F,Neo QLED 4K,2025,Neo-QLED,high,QN85F-85IN-KR,85,KR,29.50,220,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN900D,Neo QLED 8K,2024,Neo-QLED,flagship,KQ65QNA900DXKR,65,KR,23.00,170,1344,90,,4990000,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN900D,Neo QLED 8K,2024,Neo-QLED,flagship,QN65QN900DAFXZA,65,US,23.00,170,1344,90,2999,,USD,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN90D,Neo QLED 4K,2024,Neo-QLED,flagship,KQ65QNA90DXKR,65,KR,23.00,170,1344,70,,2290000,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN90D,Neo QLED 4K,2024,Neo-QLED,flagship,QN65QN90DAFXZA,65,US,23.00,170,1344,70,1199,,USD,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-43IN-KR,43,KR,15.00,110,1344,70,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-50IN-KR,50,KR,17.50,130,1344,70,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-55IN-KR,55,KR,19.00,140,1344,70,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,KQ65QNF90FXKR,65,KR,23.00,170,1344,70,,2890000,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-75IN-KR,75,KR,26.00,200,1344,70,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-85IN-KR,85,KR,29.50,220,1344,70,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-98IN-KR,98,KR,34.50,250,1344,70,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-115IN-KR,115,KR,40.00,300,1344,70,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-43IN-US,43,US,15.00,110,1344,70,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-50IN-US,50,US,17.50,130,1344,70,1499,1499,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-55IN-US,55,US,19.00,140,1344,70,1799,1799,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN65QN90FAFXZA,65,US,23.00,170,1344,70,2499,1399,USD,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-75IN-US,75,US,26.00,200,1344,70,2999,2999,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-85IN-US,85,US,29.50,220,1344,70,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-98IN-US,98,US,34.50,250,1344,70,14999,14999,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN90F,Neo QLED 4K,2025,Neo-QLED,flagship,QN90F-115IN-US,115,US,40.00,300,1344,70,26999,26999,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN95C,Neo QLED 4K,2023,Neo-QLED,flagship,KQ65QNC95CFXKR,65,KR,23.00,170,1344,70,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN990F,Neo QLED 8K,2025,Neo-QLED,flagship,KQ65QNF990FXKR,65,KR,23.00,170,1344,90,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN990F,Neo QLED 8K,2025,Neo-QLED,flagship,QN990F-75IN-KR,75,KR,26.00,200,1344,90,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN990F,Neo QLED 8K,2025,Neo-QLED,flagship,QN990F-85IN-KR,85,KR,29.50,220,1344,90,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN990F,Neo QLED 8K,2025,Neo-QLED,flagship,QN990F-98IN-KR,98,KR,34.50,250,1344,90,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,QN990H,Neo QLED 8K,2026,Neo-QLED,flagship,KQ85QN990HXKR,85,KR,29.50,220,1344,90,,,KRW,출시예정,"color, local_dimming_zones, power_w, stand_type, weight_kg"
삼성,QN990H,Neo QLED 8K,2026,Neo-QLED,flagship,QN990H-98IN-KR,98,KR,34.50,250,1344,90,,,KRW,출시예정,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
삼성,S85H,OLED,2026,WOLED,mid,S85H-48IN-KR,48,KR,14.00,110,,20,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S85H,OLED,2026,WOLED,mid,S85H-55IN-KR,55,KR,16.00,130,,20,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S85H,OLED,2026,WOLED,mid,KQ65S85HXKR,65,KR,18.50,150,,20,,,KRW,출시예정,"color, power_w, stand_type, weight_kg"
삼성,S85H,OLED,2026,WOLED,mid,S85H-77IN-KR,77,KR,22.00,180,,20,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S85H,OLED,2026,WOLED,mid,S85H-83IN-KR,83,KR,24.00,190,,20,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90D,OLED,2024,QD-OLED,high,KQ65SD90DXKR,65,KR,18.50,150,,40,,,KRW,판매중,"color, power_w, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-42IN-KR,42,KR,12.00,100,,40,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-48IN-KR,48,KR,14.00,110,,40,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-55IN-KR,55,KR,16.00,130,,40,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,KQ65SF90FXKR,65,KR,18.50,150,,40,,,KRW,판매중,"color, power_w, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-77IN-KR,77,KR,22.00,180,,40,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-83IN-KR,83,KR,24.00,190,,40,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-42IN-US,42,US,12.00,100,,40,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-48IN-US,48,US,14.00,110,,40,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-55IN-US,55,US,16.00,130,,40,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,QN65S90FAFXZA,65,US,18.50,150,,40,,,USD,판매중,"color, power_w, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-77IN-US,77,US,22.00,180,,40,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90F,OLED,2025,QD-OLED,high,S90F-83IN-US,83,US,24.00,190,,40,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90H,OLED,2026,QD-OLED,high,S90H-42IN-KR,42,KR,12.00,100,,40,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90H,OLED,2026,QD-OLED,high,S90H-48IN-KR,48,KR,14.00,110,,40,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90H,OLED,2026,QD-OLED,high,S90H-55IN-KR,55,KR,16.00,130,,40,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90H,OLED,2026,QD-OLED,high,KQ65S90HXKR,65,KR,18.50,150,,40,,,KRW,출시예정,"color, power_w, stand_type, weight_kg"
삼성,S90H,OLED,2026,QD-OLED,high,S90H-77IN-KR,77,KR,22.00,180,,40,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S90H,OLED,2026,QD-OLED,high,S90H-83IN-KR,83,KR,24.00,190,,40,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S95C,OLED,2023,QD-OLED,flagship,KQ65SC95CFXKR,65,KR,18.50,150,,70,,,KRW,판매중,"color, power_w, stand_type, weight_kg"
삼성,S95D,OLED,2024,QD-OLED,flagship,KQ65SD95DXKR,65,KR,18.50,150,,70,,2990000,KRW,판매중,"color, power_w, stand_type, weight_kg"
삼성,S95D,OLED,2024,QD-OLED,flagship,QN65S95DAFXZA,65,US,18.50,150,,70,1599,,USD,판매중,"color, power_w, stand_type, weight_kg"
삼성,S95F,OLED,2025,QD-OLED,flagship,S95F-55IN-KR,55,KR,16.00,130,,70,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S95F,OLED,2025,QD-OLED,flagship,KQ65SF95FXKR,65,KR,18.50,150,,70,,3690000,KRW,판매중,"color, power_w, stand_type, weight_kg"
삼성,S95F,OLED,2025,QD-OLED,flagship,S95F-77IN-KR,77,KR,22.00,180,,70,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S95F,OLED,2025,QD-OLED,flagship,S95F-83IN-KR,83,KR,24.00,190,,70,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S95F,OLED,2025,QD-OLED,flagship,S95F-55IN-US,55,US,16.00,130,,70,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S95F,OLED,2025,QD-OLED,flagship,QN65S95FAFXZA,65,US,18.50,150,,70,2299,2299,USD,판매중,"color, power_w, stand_type, weight_kg"
삼성,S95F,OLED,2025,QD-OLED,flagship,S95F-77IN-US,77,US,22.00,180,,70,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S95F,OLED,2025,QD-OLED,flagship,S95F-83IN-US,83,US,24.00,190,,70,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S95H,OLED,2026,QD-OLED,flagship,S95H-55IN-KR,55,KR,16.00,130,,70,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S95H,OLED,2026,QD-OLED,flagship,KQ65S95HXKR,65,KR,18.50,150,,70,,,KRW,출시예정,"color, power_w, stand_type, weight_kg"
삼성,S95H,OLED,2026,QD-OLED,flagship,S95H-75IN-KR,75,KR,21.50,170,,70,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S95H,OLED,2026,QD-OLED,flagship,S95H-83IN-KR,83,KR,24.00,190,,70,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S99H,OLED,2026,QD-OLED,flagship,S99H-55IN-KR,55,KR,16.00,130,,70,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S99H,OLED,2026,QD-OLED,flagship,KQ65S99HXKR,65,KR,18.50,150,,70,,,KRW,출시예정,"color, power_w, stand_type, weight_kg"
삼성,S99H,OLED,2026,QD-OLED,flagship,S99H-77IN-KR,77,KR,22.00,180,,70,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
삼성,S99H,OLED,2026,QD-OLED,flagship,S99H-83IN-KR,83,KR,24.00,190,,70,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
Hisense,U6N,ULED U6N,2024,Mini-LED,mid,65U6N,65,KR,23.00,200,256,20,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U6Q,ULED U6QG,2025,Mini-LED,mid,U6Q-55IN-KR,55,KR,19.00,160,256,20,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U6Q,ULED U6QG,2025,Mini-LED,mid,65U6QG,65,KR,23.00,200,256,20,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U6Q,ULED U6QG,2025,Mini-LED,mid,U6Q-75IN-KR,75,KR,26.00,220,256,20,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U6Q,ULED U6QG,2025,Mini-LED,mid,U6Q-85IN-KR,85,KR,29.50,260,256,20,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U6Q,ULED U6QG,2025,Mini-LED,mid,U6Q-100IN-KR,100,KR,35.00,300,256,20,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U7N,ULED U7N,2024,Mini-LED,high,65U7N,65,KR,23.00,200,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,U7Q-55IN-KR,55,KR,19.00,160,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,65U7QG,65,KR,23.00,200,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,U7Q-75IN-KR,75,KR,26.00,220,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,U7Q-85IN-KR,85,KR,29.50,260,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,U7Q-100IN-KR,100,KR,35.00,300,512,40,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,U7Q-55IN-US,55,US,19.00,160,512,40,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,65U7QG,65,US,23.00,200,512,40,,,USD,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,U7Q-75IN-US,75,US,26.00,220,512,40,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,U7Q-85IN-US,85,US,29.50,260,512,40,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U7Q,ULED U7QG,2025,Mini-LED,high,U7Q-100IN-US,100,US,35.00,300,512,40,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U8K,ULED U8K,2023,Mini-LED,flagship,65U8K,65,KR,23.00,200,1344,60,,,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U8N,ULED U8N,2024,Mini-LED,flagship,65U8N,65,KR,23.00,200,1344,60,,1490000,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U8N,ULED U8N,2024,Mini-LED,flagship,65U8N,65,US,23.00,200,1344,60,999,,USD,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,U8Q-55IN-KR,55,KR,19.00,160,1344,60,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,65U8QG,65,KR,23.00,200,1344,60,,1790000,KRW,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,U8Q-75IN-KR,75,KR,26.00,220,1344,60,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,U8Q-85IN-KR,85,KR,29.50,260,1344,60,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,U8Q-100IN-KR,100,KR,35.00,300,1344,60,,,KRW,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,U8Q-55IN-US,55,US,19.00,160,1344,60,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,65U8QG,65,US,23.00,200,1344,60,2199,1399,USD,판매중,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,U8Q-75IN-US,75,US,26.00,220,1344,60,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,U8Q-85IN-US,85,US,29.50,260,1344,60,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Hisense,U8Q,ULED U8QG,2025,Mini-LED,flagship,U8Q-100IN-US,100,US,35.00,300,1344,60,,,USD,판매중,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Huawei,Vision5,Vision Smart Screen 5,2025,Mini-LED,mid,Vision5-55IN-Global,55,Global,19.00,160,256,20,,,KRW,해외판매,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Huawei,Vision5,Vision Smart Screen 5,2025,Mini-LED,mid,HW-VISION5-65,65,Global,23.00,200,256,20,,,KRW,해외판매,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Huawei,Vision5,Vision Smart Screen 5,2025,Mini-LED,mid,Vision5-75IN-Global,75,Global,26.00,220,256,20,,,KRW,해외판매,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Huawei,Vision5,Vision Smart Screen 5,2025,Mini-LED,mid,Vision5-85IN-Global,85,Global,29.50,260,256,20,,,KRW,해외판매,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Huawei,VisionSE,Vision Smart Screen SE,2025,LED-LCD,mid,VisionSE-55IN-Global,55,Global,19.00,140,48,20,,,KRW,해외판매,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Huawei,VisionSE,Vision Smart Screen SE,2025,LED-LCD,mid,HW-VISIONSE-65,65,Global,23.00,170,48,20,,,KRW,해외판매,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Huawei,VisionSE,Vision Smart Screen SE,2025,LED-LCD,mid,VisionSE-75IN-Global,75,Global,26.00,200,48,20,,,KRW,해외판매,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Huawei,VisionX,Vision X Mini LED,2025,Mini-LED,high,HW-VISIONX-65,65,Global,23.00,200,512,40,,,KRW,해외판매,"color, local_dimming_zones, power_w, stand_type, weight_kg"
Huawei,VisionX,Vision X Mini LED,2025,Mini-LED,high,VisionX-75IN-Global,75,Global,26.00,220,512,40,,,KRW,해외판매,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Huawei,VisionX,Vision X Mini LED,2025,Mini-LED,high,VisionX-85IN-Global,85,Global,29.50,260,512,40,,,KRW,해외판매,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
Huawei,VisionX,Vision X Mini LED,2025,Mini-LED,high,VisionX-98IN-Global,98,Global,34.50,290,512,40,,,KRW,해외판매,"color, local_dimming_zones, power_w, sku_full, stand_type, weight_kg"
LG,B4,OLED B4,2024,WOLED,mid,OLED65B4KNA,65,KR,18.50,150,,20,,,KRW,판매중,"color, power_w, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,B5-48IN-KR,48,KR,14.00,110,,20,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,B5-55IN-KR,55,KR,16.00,130,,20,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,OLED65B5KNA,65,KR,18.50,150,,20,,,KRW,판매중,"color, power_w, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,B5-77IN-KR,77,KR,22.00,180,,20,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,B5-83IN-KR,83,KR,24.00,190,,20,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,B5-48IN-US,48,US,14.00,110,,20,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,B5-55IN-US,55,US,16.00,130,,20,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,OLED65B5PUA,65,US,18.50,150,,20,1199,,USD,판매중,"color, power_w, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,B5-77IN-US,77,US,22.00,180,,20,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
LG,B5,OLED B5,2025,WOLED,mid,B5-83IN-US,83,US,24.00,190,,20,,,USD,판매중,"color, power_w, sku_full, stand_type, weight_kg"
LG,B6,OLED B6,2026,WOLED,mid,B6-48IN-KR,48,KR,14.00,110,,20,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
LG,B6,OLED B6,2026,WOLED,mid,B6-55IN-KR,55,KR,16.00,130,,20,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
LG,B6,OLED B6,2026,WOLED,mid,OLED65B6KNA,65,KR,18.50,150,,20,,,KRW,출시예정,"color, power_w, stand_type, weight_kg"
LG,B6,OLED B6,2026,WOLED,mid,B6-77IN-KR,77,KR,22.00,180,,20,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
LG,B6,OLED B6,2026,WOLED,mid,B6-83IN-KR,83,KR,24.00,190,,20,,,KRW,출시예정,"color, power_w, sku_full, stand_type, weight_kg"
LG,C3,OLED evo C3,2023,WOLED,high,OLED65C3KNA,65,KR,18.50,150,,40,,,KRW,판매중,"color, power_w, stand_type, weight_kg"
LG,C4,OLED evo C4,2024,WOLED,high,OLED65C4KNA,65,KR,18.50,150,,40,,1990000,KRW,판매중,"color, power_w, stand_type, weight_kg"
LG,C4,OLED evo C4,2024,WOLED,high,OLED65C4PUA,65,US,18.50,150,,40,1199,,USD,판매중,"color, power_w, stand_type, weight_kg"
LG,C5,OLED evo C5,2025,WOLED,high,C5-42IN-KR,42,KR,12.00,100,,40,,,KRW,판매중,"color, power_w, sku_full, stand_type, weight_kg"
